,team,conference,sos,prev_sos,adj_rpi,adj_rpi_value,rpi,rpi_value,adj_non-conf_rpi,conf_rpi,nc_sos,nc_sos_value,advanced,win,loss,road_win,road_loss,last_10_win,last_10_loss,rpi_1_win,rpi_1_loss,rpi_26_win,rpi_26_loss,rpi_51_win,rpi_51_loss,rpi_101_win,rpi_101_loss,top_100_win,top_100_loss,below_150_win,below_150_loss,non_conf_win,non_conf_loss,conf_win,conf_loss
248,Dartmouth,Ivy League,249,252,214,0.45153,213,0.45643,246,27,209,0.47117,0,20,24,6,11,7,3,0,5,0,1,0,4,20,14,0,10,18,12,6,17,6,17
249,Detroit Mercy,Horizon,250,249,295,0.36576,296,0.37136,294,29,164,0.49451,0,6,36,3,21,3,7,0,1,0,0,0,0,6,35,0,1,6,24,0,15,0,15
250,UT Martin,OVC,251,250,144,0.49837,133,0.50257,210,18,299,0.36138,0,34,19,12,10,7,3,0,0,0,2,2,6,32,11,2,8,30,4,15,9,15,9
251,Evansville,MVC,252,253,204,0.45829,201,0.46319,154,12,280,0.40847,0,24,27,7,10,3,7,0,3,0,0,2,6,22,18,2,9,18,11,15,8,15,8
252,Robert Morris,Horizon,253,256,158,0.48604,153,0.48744,137,29,183,0.48062,0,31,21,15,10,5,5,0,1,0,2,0,1,31,17,0,4,25,12,11,10,11,10
253,Dayton,Atlantic 10,254,251,197,0.46178,205,0.46178,225,25,246,0.44723,0,22,24,8,9,6,4,0,0,0,3,1,4,21,17,1,7,18,11,7,12,7,12
254,Niagara,MAAC,255,254,264,0.40833,257,0.42163,272,28,247,0.44676,0,14,26,3,16,2,8,0,0,0,3,0,2,14,21,0,5,14,18,6,14,6,14
255,UNCW,CAA,256,261,110,0.51757,108,0.51967,121,14,285,0.39903,1,32,13,7,5,7,3,0,0,0,0,3,3,29,10,3,3,21,3,18,5,18,5
256,Manhattan,MAAC,257,258,284,0.38874,275,0.40624,285,28,257,0.436,0,13,32,4,13,2,8,0,0,0,2,0,2,13,28,0,4,12,22,6,19,6,19
257,Tennessee Tech,OVC,258,257,155,0.4876,152,0.4876,135,18,294,0.38271,0,32,22,12,9,2,8,0,1,0,0,1,8,31,13,1,9,25,6,18,6,18,6
258,Lafayette,Patriot,259,259,293,0.369,294,0.3844,280,26,243,0.44897,0,10,37,4,21,2,8,0,0,0,0,0,6,10,31,0,6,10,27,8,21,8,21
259,North Dakota,Summit League,260,255,276,0.39573,277,0.40553,269,21,267,0.42724,0,14,39,7,24,2,8,0,0,0,5,1,7,13,27,1,12,12,21,10,22,10,22
260,Cleveland St.,Horizon,261,260,213,0.45203,218,0.45203,258,29,189,0.47854,0,22,24,10,7,5,5,0,0,0,0,0,5,22,19,0,5,20,17,4,13,4,13
261,UMBC,America East,262,266,104,0.52334,104,0.52334,138,24,300,0.35826,1,31,10,8,4,7,3,0,0,0,0,1,0,30,10,1,0,20,6,16,4,16,4
262,Bryant,NEC,263,263,262,0.40943,260,0.41923,290,30,218,0.46634,0,15,27,7,18,5,5,0,2,0,0,0,2,15,23,0,4,14,20,2,16,2,16
263,Jackson St.,SWAC,264,262,236,0.43411,244,0.43411,239,31,142,0.50706,0,21,27,4,14,4,6,0,0,0,0,0,5,21,22,0,5,20,18,7,13,7,13
264,Drexel,CAA,265,264,200,0.46027,200,0.46377,148,14,271,0.41996,0,24,23,11,15,4,6,0,0,0,0,0,4,24,19,0,4,20,6,19,9,19,9
265,Rhode Island,Atlantic 10,266,265,289,0.3808,287,0.3913,278,25,272,0.4181,0,11,35,5,16,1,9,0,0,0,0,0,4,11,31,0,4,11,25,7,16,7,16
266,Siena,MAAC,267,268,199,0.46099,180,0.47359,242,28,277,0.41268,0,32,23,14,11,8,2,0,0,0,0,0,1,32,22,0,1,31,14,14,15,14,15
267,Howard,MEAC,268,280,202,0.45922,196,0.46482,253,32,225,0.46323,1,29,22,12,6,8,2,0,0,0,0,0,5,29,17,0,5,29,16,8,17,8,17
268,Western Mich.,MAC,269,267,249,0.42509,237,0.43769,265,22,282,0.40321,0,22,32,7,15,6,4,0,2,0,2,0,3,22,25,0,7,20,19,10,16,10,16
269,Tarleton St.,WAC,270,271,179,0.47212,184,0.47072,156,20,222,0.46453,0,29,23,8,12,4,6,0,0,0,1,2,5,27,17,2,6,26,10,15,13,15,13
270,Ark.-Pine Bluff,SWAC,271,277,299,0.33912,299,0.34472,274,31,61,0.55207,0,4,37,2,19,2,8,0,0,0,0,0,9,4,28,0,9,4,24,0,17,0,17
271,Merrimack,NEC,272,269,282,0.38985,273,0.40735,283,30,238,0.45156,0,14,28,3,14,6,4,0,0,0,0,0,4,14,24,0,4,14,17,4,14,4,14
272,LIU,NEC,273,279,224,0.44172,229,0.44312,240,30,250,0.44449,0,26,31,7,12,5,5,0,2,0,0,0,3,26,26,0,5,24,18,13,20,13,20
273,N.C. Central,MEAC,274,272,288,0.38171,293,0.38451,273,32,151,0.50345,0,12,36,1,20,3,7,0,0,0,0,0,4,12,32,0,4,12,24,3,21,3,21
274,George Mason,Atlantic 10,275,270,227,0.43946,222,0.44856,241,25,275,0.41593,0,24,26,7,12,7,3,0,0,0,0,1,4,23,22,1,4,23,13,12,14,12,14
275,South Carolina St.,MEAC,276,274,301,0.32066,301,0.33536,295,32,147,0.50435,0,3,37,2,17,0,10,0,0,0,0,0,2,3,35,0,2,3,32,1,18,1,18
276,Hartford,America East,277,273,281,0.39051,267,0.40941,289,24,295,0.38182,0,17,32,7,23,4,6,0,0,0,0,0,0,17,32,0,0,15,22,10,16,10,16
277,Mississippi Val.,SWAC,278,275,275,0.39752,284,0.39752,261,31,94,0.5331,0,11,26,1,14,2,8,0,0,0,1,0,4,11,21,0,5,10,18,1,10,1,10
278,Alabama St.,SWAC,279,278,242,0.42999,248,0.43279,262,31,240,0.45098,0,24,31,5,16,6,4,0,1,0,4,0,1,24,25,0,6,24,21,9,17,9,17
279,Saint Francis (PA),NEC,280,276,136,0.50176,135,0.50176,164,30,241,0.4502,1,37,16,13,11,10,0,0,1,0,0,0,6,37,9,0,7,36,8,17,12,17,12
280,Alcorn,SWAC,281,282,287,0.38223,291,0.38643,282,31,135,0.51176,0,12,31,3,17,1,9,0,1,0,2,0,5,12,23,0,8,12,21,0,17,0,17
281,Columbia,Ivy League,282,281,277,0.39435,280,0.40345,281,27,269,0.42266,0,12,26,8,10,4,6,0,1,0,0,0,1,12,24,0,2,11,17,4,13,4,13
282,Brown,Ivy League,283,283,258,0.41607,261,0.41887,224,27,262,0.43254,0,16,25,6,12,4,6,0,0,0,0,0,1,16,24,0,1,16,15,9,11,9,11
283,Quinnipiac,MAAC,284,284,286,0.38596,286,0.39436,279,28,287,0.39591,0,12,29,2,17,2,8,0,0,0,0,0,1,12,28,0,1,12,24,7,14,7,14
284,Coppin St.,MEAC,285,285,298,0.3481,298,0.3579,300,32,215,0.46694,0,8,37,2,21,5,5,0,0,0,0,0,4,8,33,0,4,8,29,0,21,0,21
285,Abilene Christian,WAC,286,286,220,0.44486,219,0.45046,248,20,283,0.40194,0,25,26,10,11,6,4,0,0,0,4,1,0,24,22,1,4,19,15,10,15,10,15
286,Wagner,NEC,287,287,270,0.40092,265,0.41352,284,30,279,0.40935,0,19,29,8,18,3,7,0,0,0,0,0,0,19,29,0,0,19,24,7,17,7,17
287,Southern U.,SWAC,288,289,290,0.38064,292,0.38624,275,31,73,0.54322,0,14,32,3,15,5,5,0,0,0,2,0,8,14,22,0,10,14,19,2,16,2,16
288,Delaware St.,MEAC,289,288,300,0.32783,300,0.33833,293,32,173,0.48725,0,4,32,1,13,1,9,0,0,0,1,0,3,4,28,0,4,3,25,1,15,1,15
289,Morgan St.,MEAC,290,291,178,0.47275,176,0.47625,176,32,229,0.46132,0,30,15,13,6,8,2,0,0,0,0,0,0,30,15,0,0,30,10,11,10,11,10
290,Holy Cross,Patriot,291,290,273,0.3985,262,0.4188,276,26,289,0.39204,0,21,29,8,17,8,2,0,0,0,0,0,8,21,21,0,8,21,18,13,19,13,19
291,Saint Peter's,MAAC,292,292,292,0.37284,276,0.40574,292,28,297,0.375,0,22,33,12,19,4,6,0,0,0,0,0,0,22,33,0,0,21,27,15,20,15,20
292,Fairleigh Dickinson,NEC,293,293,256,0.41917,253,0.42897,277,30,292,0.3832,0,24,25,13,11,5,5,0,0,0,0,0,2,24,23,0,2,22,22,10,15,10,15
293,UMES,MEAC,294,294,294,0.36698,290,0.38938,298,32,274,0.41678,0,18,33,6,15,4,6,0,0,0,0,0,3,18,30,0,3,17,27,5,23,5,23
294,Green Bay,Horizon,295,295,252,0.42358,251,0.43058,288,29,301,0.33743,0,25,25,13,13,5,5,0,0,0,0,0,0,25,25,0,0,24,21,8,13,8,13
295,Youngstown St.,Horizon,296,296,238,0.43264,226,0.44594,257,29,298,0.3622,0,32,24,14,13,6,4,0,0,0,1,0,0,32,23,0,1,31,19,15,13,15,13
296,Alabama A&M,SWAC,297,297,283,0.38898,288,0.39038,259,31,266,0.42804,0,14,24,6,13,6,4,0,0,0,0,0,3,14,21,0,3,14,20,3,6,3,6
297,Texas Southern,SWAC,298,298,244,0.42834,246,0.43324,287,31,201,0.47549,0,24,20,11,13,7,3,0,0,0,4,0,2,24,14,0,6,24,13,3,17,3,17
298,Prairie View,SWAC,299,299,285,0.38633,285,0.39473,297,31,232,0.455,1,20,28,8,16,8,2,0,0,0,0,0,3,20,25,0,3,20,23,3,19,3,19
299,Norfolk St.,MEAC,300,300,255,0.42167,245,0.43357,266,32,296,0.37751,0,32,23,9,9,4,6,0,0,0,0,0,3,32,20,0,3,32,18,13,16,13,16
300,Grambling,SWAC,301,301,297,0.35945,297,0.36505,301,31,273,0.41758,0,13,23,1,14,3,7,0,0,0,0,0,0,13,23,0,0,13,19,0,8,0,8
